completed,oid,taxon,mbNumber,guid,CORRECT_taxon,taxonomicLevel,trophicMode,guild,confidenceRanking,growthForm,trait,notes,citationSource,,,,,,,,
,58f450ef791497fd28ebeafb,Morteriellales,90555,072310D3-8169-4E27-8838-2C297F018D91,Mortierellales,7,Saprotroph-Symbiotroph,Endophyte-Soil Saprotroph-Undefined Saprotroph,Possible,Microfungus,NULL,Saprobic in soil and thus frequenctly isolated from soil and material contaminated with soil such as hay or rotten silage and spoil tips (Cannon & Kirk 2007),"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426)); David AS, et al. 2016. Microbial Ecology 71:912-926 ((https://doi.org/10.1007/s00248-015-0712-6))",,,,,,,,
,58f450ef791497fd28ebec40,Neocallimastix,25486,1CB1D1E8-36B9-11D5-9548-00D0592D548C,Neocallimastix,13,Saprotroph-Symbiotroph,Animal Endosymbiont-Plant Saprotroph,Highly Probable,Microfungus,NULL,Obligates anaerobes that live in the rumen and handgun of vertebrate herbivores and metabolize cellulose (Cannon & Kirk 2007),"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))",,,,,,,,
,58f450ef791497fd28ebec90,Nidularia,19237,1CB1C964-36B9-11D5-9548-00D0592D548C,Nidularia,13,Saprotroph,Dung Saprotroph-Plant Saprotroph,Probable,Gasteroid,NULL,"Common name - birds nest fungus; Saprobic on dead plant material or dung, especially common on dead grass stems (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))",,,,,,,,
,58f450ef791497fd28ebf94e,Stropharia,18613,1CB1A4E5-36B9-11D5-9548-00D0592D548C,Stropharia,13,Saprotroph,Dung Saprotroph-Plant Parasite-Soil Saprotroph-Undefined Saprotroph-Wood Saprotroph,Probable,Agaricoid,NULL,Very variable ecology; Pholiota species are lignicolous and can act as weak parasites while most other taxa are either sparobes in grassy habitats or are found in dung. Species are not ectomycorrhizal (Cannon & Kirk 2007),"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))",,,,,,,,
,58f450ef791497fd28ebeee0,Pezicula,3858,1CB1C9D8-36B9-11D5-9548-00D0592D548C,Pezicula,13,Pathotroph-Saprotroph,Endophyte-Plant Pathogen-Undefined Saprotroph,Probable,NULL,NULL,"Most species in Pezicula are only known as saprobes or harmless endophytes, and occasionally as weak plant pathogens.","Chen C, et al. 2015. Fungal Biology 120:1291-1322 ((https://doi.org/10.1016/j.funbio.2015.09.013)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))",,,,,,,,
,58f450ee791497fd28ebd48a,Acrodictys alaeidicola,NA,NA,Acrodictys alaeidicola,20,Symbiotroph,Endophyte,Highly Probable,Microfungus,NULL,Host - Arecaceae,"Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf))",,,,,,,,
,58f450ee791497fd28ebd5f1,Anthrinium,NA,NA,Anthrinium,13,Pathotroph-Symbiotroph,Endophyte-Plant Pathogen,Probable,NULL,NULL,Host - Sapotaceae,"Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf))",,,,,,,,
,58f450ee791497fd28ebd5f2,Anthrinium sacchari,NA,NA,Anthrinium sacchari,20,Pathotroph-Symbiotroph,Endophyte-Plant Pathogen,Probable,NULL,NULL,Host - Sapotaceae,"Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf))",,,,,,,,
,58f450ee791497fd28ebdb60,Chlorociboria,1009,1CB18260-36B9-11D5-9548-00D0592D548C,Chlorociboria,13,Saprotroph,Wood Saprotroph,Probable,Microfungus,NULL,NULL,"Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf))",,,,,,,,
,58f450ee791497fd28ebdb62,Chlorociboria aeruginosa,294810,1CB18263-36B9-11D5-9548-00D0592D548C,Chlorociboria aeruginosa,20,Saprotroph,Wood Saprotroph,Probable,Microfungus,NULL,NULL,"Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf))",,,,,,,,
,58f450ee791497fd28ebdc37,Closterosporium,7704,NA,Closterosporium,13,Saprotroph,Undefined Saprotroph,Probable,NULL,NULL,NULL,"Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf))",,,,,,,,
,58f450ee791497fd28ebdc9b,Colletotrichum ananas,NA,NA,Colletotrichum ananas,20,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,"Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf))",,,,,,,,
,58f450ee791497fd28ebdecd,Daldinia eschscholzii,146911,NA,Daldinia eschscholzii,20,Pathotroph-Symbiotroph,Endophyte-Plant Pathogen,Probable,NULL,NULL,"Host - Arecaceae, Lamiaceae","Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf))",,,,,,,,
,58f450ee791497fd28ebe077,Dreschlera,NA,NA,Dreschlera,13,Symbiotroph,Endophyte,Highly Probable,NULL,NULL,Host - Fabaceae,"Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf))",,,,,,,,
,58f450ee791497fd28ebe078,Dreschlera hawaiiensis,NA,NA,Dreschlera hawaiiensis,20,Pathotroph-Symbiotroph,Endophyte-Plant Pathogen,Possible,NULL,NULL,"Host - Convolvulaceae, Loranthaceae, Rhizophoraceae","Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf))",,,,,,,,
,58f450ee791497fd28ebe079,Dreschlera papendorfii,NA,NA,Dreschlera papendorfii,20,Symbiotroph,Endophyte,Highly Probable,NULL,NULL,Host - Fabaceae,"Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf))",,,,,,,,
,58f450ee791497fd28ebe2a0,Fusarium incarnatum,231142,B2CA98B9-5EBB-4EE2-B445-A3FC2F905680,Fusarium incarnatum,20,Pathotroph-Symbiotroph,Endophyte-Plant Pathogen,Possible,Microfungus,NULL,Endophyte Host - Fabaceae (Costa et al. 2012),"Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf))",,,,,,,,
,58f450ef791497fd28ebe4af,Haplotrichum minitissimum,NA,NA,Haplotrichum minitissimum,20,Symbiotroph,Endophyte,Highly Probable,NULL,NULL,"Host - Cannabaceae, Moraceae, Oleaceae","Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf))",,,,,,,,
,58f450ef791497fd28ebe6f3,Kluyveromyces marxianus,316062,1CB1B3E5-36B9-11D5-9548-00D0592D548C,Kluyveromyces marxianus,20,Symbiotroph,Endophyte,Highly Probable,Yeast,NULL,Host - Boraginaceae,"Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf))",,,,,,,,
,58f450ef791497fd28ebea3f,Microascus cinereus,300972,7A697DDB-2862-48ED-BDB3-BAB5724BE4F4,Microascus cinereus,20,Pathotroph-Symbiotroph,Endophyte-Plant Pathogen,Probable,Microfungus,NULL,Host - Orchidaceae,"Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf))",,,,,,,,
,58f450ef791497fd28ebeecc,Pestalotiopsis microspora,437946,BB50E4AF-9084-4073-8157-530FAA614C59,Pestalotiopsis microspora,20,Symbiotroph,Endophyte,Highly Probable,NULL,NULL,Host - Malvaceae,"Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf))",,,,,,,,
,58f450ef791497fd28ebf68a,Scolicotrichum musae,171092,E6830443-C551-4775-AC40-F2BF4FB3AC9A,Scolicotrichum musae,20,Symbiotroph,Endophyte,Highly Probable,NULL,NULL,Host - Musaceae,"Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf))",,,,,,,,
,58f450ef791497fd28ebf6e0,Septoria anacardii,NA,NA,Septoria anacardii,20,Pathotroph-Symbiotroph,Endophyte-Plant Pathogen,Possible,Microfungus,NULL,Host - Anacardiaceae,"Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf))",,,,,,,,
,58f450ef791497fd28ebf701,Septoria macrospora,218985,1715C873-3951-4A5D-899B-0EC9F710F8C3,Septoria macrospora,20,Pathotroph-Symbiotroph,Endophyte-Plant Pathogen,Probable,Microfungus,NULL,"Host - Asteraceae, Myrtaceae","Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf))",,,,,,,,
,58f450ee791497fd28ebd9b5,Candida vaginitis,NA,NA,Candida vaginitis,20,Pathotroph,Animal Pathogen,Highly Probable,Dimorphic Yeast,NULL,Human pathogen,"Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); https://www.cdc.gov ((https://www.cdc.gov))",,,,,,,,
,58f450ef791497fd28ebf1b5,Pleurotus ostreatus,174220,1CB19C12-36B9-11D5-9548-00D0592D548C,Pleurotus ostreatus,20,Pathotroph-Saprotroph,Endophyte-Plant Pathogen-Wood Saprotroph,Probable,Agaricoid,White Rot,"Host - Anacardiaceae, Malvaceae; Sapwood rot on Pistacia; Nematode trapper","Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); James TY, et al. 2006. Nature 443:818-822 ((https://doi.org/10.1038/nature05110)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))",,,,,,,,
